,Unnamed: 0,Track,Year,Closest Passage (km),Angle of Passage,close_x,close_y,Vm_max,Vm_rmin,Rm_max,Rm_rmin,Direction,U,V,Max Surge (m),pass_libh
30,30,31,1988,18.0889136489738,293.89109240155267,-75.05099999999999,23.116,31.20617304,16.0506528,113.3,44.61,NW,-0.6449999999999818,0.0749999999999992,0.490218,18.0889136489738
31,31,32,1988,74.36378705391401,46.75402165336676,-74.65800000000002,23.753,36.37633524,25.65532228,132.13,38.61,NW,-0.9809999999999944,0.286999999999999,0.40407,74.36378705391401
32,32,33,1988,21.35935364190841,37.82275414913927,-74.96499999999997,23.383,32.85239384,29.3747524,119.96,24.99,NW,-0.325999999999965,0.2309999999999981,0.908757,21.35935364190841
33,33,34,1988,92.22470253137226,217.518137110178,-75.77600000000001,22.759,40.558764960000005,35.614958120000004,120.36,20.68,NW,-0.3220000000000027,0.4050000000000011,0.338948,92.22470253137226
34,34,35,1988,85.81965556327891,5.939185124732162,-74.34800000000001,23.345,30.54254028,18.27819532,120.09,39.48,NE,0.0009999999999763,0.3069999999999986,0.48917,85.81965556327891
35,35,36,1988,42.38121872952743,250.09381772748884,-75.24700000000001,22.906,37.74475628,15.176098,109.7,46.99,SW,-0.3140000000000214,-0.0160000000000017,0.544029,42.38121872952743
36,36,37,1988,45.08253760603891,248.93210408463568,-75.26299999999998,22.886,40.42500952,32.19904996,120.09,30.98,NW,-0.5229999999999677,0.3769999999999989,0.486464,45.08253760603891
37,37,38,1988,76.82499167588702,291.2633645881292,-74.86599999999999,22.62,23.11911336,13.889988,111.14,50.97,SW,-0.4590000000000032,-0.0519999999999996,0.465401,76.82499167588702
38,38,39,1988,93.14037713580488,192.87690343106888,-75.935,23.078,66.94974216,28.25326448,120.03,45.73,NW,-0.1159999999999854,0.2829999999999977,0.688438,93.14037713580488
39,39,40,1988,29.640325656107866,148.6314630638556,-75.34500000000003,23.404,41.875741600000005,41.633952920000006,120.2,17.73,NW,-0.7300000000000182,0.347999999999999,0.461533,29.640325656107866
40,40,41,1988,25.081579256498124,106.1892062570276,-75.18,23.482,32.168183320000004,16.493074640000003,120.45,43.49,SE,0.3319999999999936,-0.1810000000000009,0.500971,25.081579256498124
41,41,42,1988,50.70367735184515,100.59653971278811,-75.20100000000002,23.714,31.37079512,30.82034004,118.89,32.33,NE,0.3029999999999972,0.1559999999999988,0.530569,50.70367735184515
42,42,43,1989,84.16003603254998,238.8677650723396,-75.50900000000001,22.616,15.37673116,6.57459432,120.41,94.9,NW,-0.3880000000000336,0.2279999999999979,0.37176,84.16003603254998
